observation-1,observation-2,observation-3,observation-4,observation-5
11537734.66,1.5,0.005,0.005,8793021.95
4218192.181,1.5,0.005,0.005,1473479.471
9738298.748,1.5,0.005,0.005,6993586.038
78923905.14,1.5,0.005,0.005,76179192.43
18395103.029,1.5,0.005,0.005,15650390.319
6754901.099,1.5,0.005,0.005,4010188.389
8172979.469,1.5,0.005,0.005,5428266.759
5527636.635,1.5,0.005,0.005,2782923.925
57907327.461,1.5,0.005,0.005,55162614.751
33660209.504,1.5,0.005,0.005,30915496.794
34650530.274,1.5,0.005,0.005,31905817.564
132180314.391,1.5,0.005,0.005,129435601.681
19071267.018,1.5,0.005,0.005,16326554.308
5664027.612,1.5,0.005,0.005,2919314.902
9945026.072,1.5,0.005,0.005,7200313.362
25727999.43,1.5,0.005,0.005,22983286.72
122553158.819,1.5,0.005,0.005,119808446.109
5230241.62,1.5,0.005,0.005,2485528.91
3080193.765,1.5,0.005,0.005,335481.055
3733027.48,1.5,0.005,0.005,988314.77
6466134.635,1.5,0.005,0.005,3721421.925
9499274.754,1.5,0.005,0.005,6754562.044
6536667.128,1.5,0.005,0.005,3791954.418
6521676.53,1.5,0.005,0.005,3776963.82
11175199.982,1.5,0.005,0.005,8430487.272
6231275.881,1.5,0.005,0.005,3486563.171
8044925.527,1.5,0.005,0.005,5300212.817
47576549.826,1.5,0.005,0.005,44831837.116
6692310.715,1.5,0.005,0.005,3947598.005
8228895.585,1.5,0.005,0.005,5484182.875
15203423.636,1.5,0.005,0.005,12458710.926
11309105.698,1.5,0.005,0.005,8564392.988
37587266.96,1.5,0.005,0.005,34842554.25
3728602.531,1.5,0.005,0.005,983889.821
17476769.694,1.5,0.005,0.005,14732056.984
6934442.764,1.5,0.005,0.005,4189730.054
5296329.765,1.5,0.005,0.005,2551617.055
16359691.129,1.5,0.005,0.005,13614978.419
6494203.715,1.5,0.005,0.005,3749491.005
4198338.895,1.5,0.005,0.005,1453626.185
4421085.9,1.5,0.005,0.005,1676373.19
7945317.435,1.5,0.005,0.005,5200604.725
9548232.619,1.5,0.005,0.005,6803519.909
20815920.215,1.5,0.005,0.005,18071207.505
27733813.104,1.5,0.005,0.005,24989100.394
5059583.452,1.5,0.005,0.005,2314870.742
7661520.755,1.5,0.005,0.005,4916808.045
26504966.509,1.5,0.005,0.005,23760253.799
5868001.925,1.5,0.005,0.005,3123289.215
22311663.889,1.5,0.005,0.005,19566951.179
5742565.28,1.5,0.005,0.005,2997852.57
11814096.861,1.5,0.005,0.005,9069384.151
13170275.43,1.5,0.005,0.005,10425562.72
8503796.361,1.5,0.005,0.005,5759083.651
11650751.906,1.5,0.005,0.005,8906039.196
4667672.78,1.5,0.005,0.005,1922960.07
17066372.693,1.5,0.005,0.005,14321659.983
22544668.4,1.5,0.005,0.005,19799955.69
32016554.985,1.5,0.005,0.005,29271842.275
20599176.783,1.5,0.005,0.005,17854464.073
3430146.133,1.5,0.005,0.005,685433.423
5959093.215,1.5,0.005,0.005,3214380.505
5634563.511,1.5,0.005,0.005,2889850.801
4912853.356,1.5,0.005,0.005,2168140.646
44650512.761,1.5,0.005,0.005,41905800.051
4632870.12,1.5,0.005,0.005,1888157.41
7980908.996,1.5,0.005,0.005,5236196.286
5902473.681,1.5,0.005,0.005,3157760.971
5125334.69,1.5,0.005,0.005,2380621.98
24075729.226,1.5,0.005,0.005,21331016.516
8088867.922,1.5,0.005,0.005,5344155.212
